modeldate,Donald Trump,Joseph R. Biden Jr.,margin
2020-02-27,45.51636,49.3387,3.822340000000004
2020-02-28,45.56311,49.75305,4.18994
2020-02-29,45.57798,49.71992,4.141940000000005
2020-03-01,45.57798,49.71992,4.141940000000005
2020-03-02,45.58205,49.72105,4.138999999999996
2020-03-03,45.58198,49.72177,4.139789999999998
2020-03-04,45.58018,49.72267,4.142490000000002
2020-03-05,45.58027,49.72296,4.142690000000002
2020-03-06,45.57991,49.72327,4.143360000000001
2020-03-07,45.01874,50.37265,5.353909999999999
2020-03-08,44.17655,50.54088,6.3643300000000025
2020-03-09,44.16133,50.35201,6.19068
2020-03-10,44.06461,50.27746,6.212849999999996
2020-03-11,44.42228,49.89032,5.468040000000002
2020-03-12,44.47955,50.02896,5.549409999999995
2020-03-13,44.40431,50.32515,5.920839999999998
2020-03-14,44.40435,50.32616,5.921810000000001
2020-03-15,44.33923,50.21645,5.877220000000001
2020-03-16,43.9433,50.19815,6.254849999999998
2020-03-17,43.84169,50.25461,6.41292
2020-03-18,43.84169,50.25461,6.41292
2020-03-19,44.04239,50.83853,6.796140000000001
2020-03-20,44.03054,50.82883,6.7982900000000015
2020-03-21,44.0462,50.83089,6.784689999999998
2020-03-22,44.40266,50.61597,6.21331
2020-03-23,43.93637,50.42982,6.493450000000003
2020-03-24,43.09573,49.88604,6.790309999999998
2020-03-25,43.6662,49.7995,6.133299999999998
2020-03-26,43.65187,50.05032,6.398449999999997
2020-03-27,43.65187,50.05032,6.398449999999997
2020-03-28,43.45767,49.90126,6.44359
2020-03-29,43.42517,49.84121,6.416039999999995
2020-03-30,43.35962,49.49434,6.1347200000000015
2020-03-31,43.3201,49.45208,6.131980000000006
2020-04-01,43.07454,49.21158,6.137039999999999
2020-04-02,43.07454,49.21158,6.137039999999999
2020-04-03,42.86735,48.70755,5.840199999999996
2020-04-04,42.88903,48.69036,5.80133
2020-04-05,43.04813,48.81426,5.766129999999997
2020-04-06,42.86165,48.78764,5.925990000000006
2020-04-07,42.98745,48.27315,5.2856999999999985
2020-04-08,42.97824,48.28708,5.308840000000004
2020-04-09,42.97815,48.28714,5.308990000000001
2020-04-10,43.00631,47.70352,4.697209999999998
2020-04-11,42.99973,47.63217,4.6324400000000026
2020-04-12,44.14139,47.52043,3.3790399999999963
2020-04-13,44.14134,47.52031,3.3789700000000025
2020-04-14,44.34309,48.32554,3.98245
2020-04-15,44.00019,48.77267,4.7724799999999945
2020-04-16,44.34444,49.0604,4.715960000000003
2020-04-17,44.34667,49.06214,4.715469999999996
2020-04-18,44.35984,49.13372,4.773879999999998
2020-04-19,44.1413,49.22435,5.08305
2020-04-20,43.96822,49.43744,5.46922
2020-04-21,43.6735,49.60074,5.927240000000005
2020-04-22,43.6735,49.60074,5.927240000000005
2020-04-23,43.67319,49.60091,5.927720000000001
2020-04-24,43.67319,49.60091,5.927720000000001
2020-04-25,43.24141,49.70026,6.458849999999998
2020-04-26,43.25308,49.74894,6.49586
2020-04-27,43.26067,49.73192,6.471250000000005
2020-04-28,43.43544,50.19525,6.759810000000002
2020-04-29,43.406,49.4002,5.994199999999999
2020-04-30,43.4062,49.40034,5.994140000000002
2020-05-01,43.42128,49.50872,6.087439999999994
2020-05-02,43.38857,49.51351,6.124939999999995
2020-05-03,43.50818,49.34661,5.838429999999995
2020-05-04,43.26865,49.63767,6.369019999999999
2020-05-05,43.53196,49.26978,5.737819999999999
2020-05-06,43.43481,48.81763,5.382820000000002
2020-05-07,43.43806,48.80709,5.369030000000002
2020-05-08,43.44417,48.80126,5.3570899999999995
2020-05-09,43.24283,48.61443,5.371600000000001
2020-05-10,43.59215,48.77852,5.186370000000004
2020-05-11,43.59695,48.77863,5.18168
2020-05-12,43.57479,48.90092,5.326129999999999
2020-05-13,43.62535,48.87567,5.250320000000002
2020-05-14,43.85975,49.432,5.572250000000004
2020-05-15,43.87293,49.45014,5.577210000000001
2020-05-16,43.76611,49.39969,5.633580000000002
2020-05-17,43.86725,49.42661,5.559359999999998
2020-05-18,43.30438,48.83281,5.52843
